value,indicator_type,is_public,observed_in,packet_numbers,flow_keys
metrics.pl-prod.ecobee.com,domain,True,['dns_query'],"[16465, 16466, 16468, 16469]","['192.168.137.174:48368>192.168.137.1:53/udp', '192.168.137.1:53>192.168.137.174:48368/udp']"
notifications-pa.googleapis.com,domain,True,['dns_query'],"[13394, 13399]","['192.168.137.1:53>192.168.137.210:42115/udp', '192.168.137.210:42115>192.168.137.1:53/udp']"
people-pa.googleapis.com,domain,True,['dns_query'],"[13393, 13397]","['192.168.137.1:53>192.168.137.210:60877/udp', '192.168.137.210:60877>192.168.137.1:53/udp']"
play.googleapis.com,domain,True,['dns_query'],"[14185, 14289]","['192.168.137.1:53>192.168.137.210:19253/udp', '192.168.137.210:19253>192.168.137.1:53/udp']"
time.nist.gov,domain,True,['dns_query'],"[17228, 17234]","['192.168.137.1:53>192.168.137.245:43096/udp', '192.168.137.245:43096>192.168.137.1:53/udp']"
www.google.com,domain,True,['dns_query'],"[2229, 2268, 10948, 10958, 15068, 15069, 16661, 16663]","['192.168.137.1:53>192.168.137.210:41308/udp', '192.168.137.1:53>192.168.137.210:44173/udp', '192.168.137.1:53>192.168.137.210:50482/udp', '192.168.137.1:53>192.168.137.210:56233/udp', '192.168.137.210:41308>192.168.137.1:53/udp', '192.168.137.210:44173>192.168.137.1:53/udp', '192.168.137.210:50482>192.168.137.1:53/udp', '192.168.137.210:56233>192.168.137.1:53/udp']"
132.163.97.3,ipv4,True,"['dst_ip', 'src_ip']","[17229, 17237]","['132.163.97.3:123>192.168.137.245:41410/udp', '192.168.137.245:41410>132.163.97.3:123/udp']"
142.250.176.202,ipv4,True,"['dst_ip', 'src_ip']","[13396, 13401, 13412, 13413, 13416, 13417, 13418, 13419, 13423, 13424]","['142.250.176.202:443>192.168.137.210:33190/tcp', '142.250.176.202:443>192.168.137.210:33192/tcp', '192.168.137.210:33190>142.250.176.202:443/tcp', '192.168.137.210:33192>142.250.176.202:443/tcp']"
142.250.65.196,ipv4,True,['dst_ip'],"[13398, 13451, 13516, 13575, 14019, 14462, 14569, 14920, 15296, 16110]",['192.168.137.210:40470>142.250.65.196:443/tcp']
142.250.80.106,ipv4,True,"['dst_ip', 'src_ip']","[17001, 17002, 17003, 17004, 17005, 17007, 17008, 17009, 17010, 17011]","['142.250.80.106:443>192.168.137.210:46758/tcp', '142.250.80.106:443>192.168.137.210:54034/udp', '192.168.137.210:46758>142.250.80.106:443/tcp', '192.168.137.210:54034>142.250.80.106:443/udp']"
142.251.40.138,ipv4,True,"['dst_ip', 'src_ip']","[13231, 13232, 13233, 13234, 13235, 13236, 13237, 13238, 13239, 13240]","['142.251.40.138:443>192.168.137.210:46410/tcp', '142.251.40.138:443>192.168.137.210:48783/udp', '142.251.40.138:443>192.168.137.210:49300/udp', '142.251.40.138:443>192.168.137.210:50918/udp', '192.168.137.210:46410>142.251.40.138:443/tcp', '192.168.137.210:48783>142.251.40.138:443/udp', '192.168.137.210:49300>142.251.40.138:443/udp', '192.168.137.210:50918>142.251.40.138:443/udp']"
142.251.40.202,ipv4,True,"['dst_ip', 'src_ip']","[13541, 13543, 13544, 13545, 13546, 13547, 13555, 13557, 13560, 13562]","['142.251.40.202:443>192.168.137.210:43196/udp', '142.251.40.202:443>192.168.137.210:45342/tcp', '192.168.137.210:43196>142.251.40.202:443/udp', '192.168.137.210:45342>142.251.40.202:443/tcp']"
142.251.40.234,ipv4,True,"['dst_ip', 'src_ip']","[13407, 13408, 13409, 13410, 13411, 13414, 13428, 13429, 13430, 13432]","['142.251.40.234:443>192.168.137.210:60479/udp', '192.168.137.210:60479>142.251.40.234:443/udp']"
142.251.41.42,ipv4,True,"['dst_ip', 'src_ip']","[3600, 3603, 3605, 3606, 3607, 3608, 3630, 3631, 3633, 3636]","['142.251.41.42:443>192.168.137.210:46046/tcp', '142.251.41.42:443>192.168.137.210:46054/tcp', '192.168.137.210:46046>142.251.41.42:443/tcp', '192.168.137.210:46054>142.251.41.42:443/tcp']"
173.194.194.206,ipv4,True,"['dst_ip', 'src_ip']","[1261, 1286, 3248, 3275, 3910, 3919, 3935, 6622, 6644, 8508]","['173.194.194.206:443>192.168.137.174:56182/tcp', '192.168.137.174:56182>173.194.194.206:443/tcp']"
3.162.3.14,ipv4,True,"['dst_ip', 'src_ip']","[7252, 7267, 7268]","['192.168.137.210:43490>3.162.3.14:443/tcp', '3.162.3.14:443>192.168.137.210:43490/tcp']"
34.173.20.6,ipv4,True,"['dst_ip', 'src_ip']","[1705, 1715, 3593, 3609, 6213, 6214, 6215, 6277, 6278, 6279]","['192.168.137.174:60244>34.173.20.6:443/tcp', '192.168.137.174:60246>34.173.20.6:443/tcp', '192.168.137.174:60248>34.173.20.6:443/tcp', '192.168.137.174:60250>34.173.20.6:443/tcp', '192.168.137.174:60254>34.173.20.6:443/tcp', '34.173.20.6:443>192.168.137.174:60244/tcp', '34.173.20.6:443>192.168.137.174:60246/tcp', '34.173.20.6:443>192.168.137.174:60248/tcp', '34.173.20.6:443>192.168.137.174:60250/tcp', '34.173.20.6:443>192.168.137.174:60254/tcp']"
34.206.185.226,ipv4,True,"['dst_ip', 'src_ip']","[48, 75, 82, 83, 413, 414, 438, 492, 2225, 2260]","['192.168.137.210:44522>34.206.185.226:443/tcp', '34.206.185.226:443>192.168.137.210:44522/tcp']"
34.214.145.236,ipv4,True,"['dst_ip', 'src_ip']","[6692, 6869, 7128, 13709, 13723, 13726, 13727, 13786, 13787, 13850]","['192.168.137.233:38092>34.214.145.236:443/tcp', '192.168.137.233:38096>34.214.145.236:443/tcp', '192.168.137.233:38098>34.214.145.236:443/tcp', '34.214.145.236:443>192.168.137.233:38096/tcp']"
34.66.16.188,ipv4,True,"['dst_ip', 'src_ip']","[1441, 1451, 1471, 6072, 6093, 6098, 10110, 10145, 10148, 13089]","['192.168.137.174:35598>34.66.16.188:443/tcp', '34.66.16.188:443>192.168.137.174:35598/tcp']"
35.155.166.214,ipv4,True,['dst_ip'],"[10923, 10997, 11254]",['192.168.137.233:56892>35.155.166.214:443/tcp']
35.169.85.245,ipv4,True,"['dst_ip', 'src_ip']","[1084, 1117, 1176, 1177, 1189, 1966, 1994, 5134, 5160, 5688]","['192.168.137.221:44500>35.169.85.245:443/tcp', '35.169.85.245:443>192.168.137.221:44500/tcp']"
35.224.21.224,ipv4,True,"['dst_ip', 'src_ip']","[16467, 16470, 16471, 16472, 16473, 16474, 16475, 16476, 16477, 16478]","['192.168.137.174:44152>35.224.21.224:443/tcp', '35.224.21.224:443>192.168.137.174:44152/tcp']"
35.84.67.65,ipv4,True,"['dst_ip', 'src_ip']","[1572, 1579, 1590, 10245, 10253, 10368, 14372, 14379, 14380, 14381]","['192.168.137.140:40738>35.84.67.65:8886/tcp', '192.168.137.233:40618>35.84.67.65:8883/tcp', '35.84.67.65:8883>192.168.137.233:40618/tcp', '35.84.67.65:8886>192.168.137.140:40738/tcp']"
4.2.2.2,ipv4,True,['dst_ip'],"[1233, 3123, 5862, 6143, 8028, 8167, 8169, 10150, 10192, 10194]","['192.168.137.233:32801>4.2.2.2:53/udp', '192.168.137.233:34767>4.2.2.2:53/udp', '192.168.137.233:36585>4.2.2.2:53/udp', '192.168.137.233:38739>4.2.2.2:53/udp', '192.168.137.233:40564>4.2.2.2:53/udp', '192.168.137.233:41549>4.2.2.2:53/udp', '192.168.137.233:44017>4.2.2.2:53/udp', '192.168.137.233:45284>4.2.2.2:53/udp', '192.168.137.233:47833>4.2.2.2:53/udp', '192.168.137.233:49775>4.2.2.2:53/udp', '192.168.137.233:50909>4.2.2.2:53/udp', '192.168.137.233:53209>4.2.2.2:53/udp', '192.168.137.233:56515>4.2.2.2:53/udp']"
44.224.95.137,ipv4,True,"['dst_ip', 'src_ip']","[13467, 13489, 13492, 13493, 13494, 13495, 13496, 13497, 13521, 13523]","['192.168.137.210:53626>44.224.95.137:443/tcp', '44.224.95.137:443>192.168.137.210:53626/tcp']"
44.235.194.199,ipv4,True,"['dst_ip', 'src_ip']","[2345, 2359, 4582, 5777, 5796, 8466, 8480, 11217, 11231, 12911]","['192.168.137.233:40697>44.235.194.199:8883/tcp', '44.235.194.199:8883>192.168.137.233:40697/tcp']"
52.40.210.103,ipv4,True,"['dst_ip', 'src_ip']","[604, 612, 619, 5168, 5198, 5213, 9275, 9285, 9291, 12950]","['192.168.137.105:48290>52.40.210.103:18665/tcp', '52.40.210.103:18665>192.168.137.105:48290/tcp']"
54.200.124.31,ipv4,True,['dst_ip'],"[1710, 12217, 16813]",['192.168.137.233:44037>54.200.124.31:1443/tcp']
54.76.59.244,ipv4,True,"['dst_ip', 'src_ip']","[14752, 14756, 14757, 14758, 14759, 14760, 14762, 14763, 14767, 14768]","['192.168.137.210:58848>54.76.59.244:443/tcp', '54.76.59.244:443>192.168.137.210:58848/tcp']"
74.125.202.206,ipv4,True,"['dst_ip', 'src_ip']","[5083, 5102, 5112, 12940, 12942, 12943, 15442, 15443, 15444, 17079]","['192.168.137.174:60738>74.125.202.206:8883/tcp', '74.125.202.206:8883>192.168.137.174:60738/tcp']"
8.8.8.8,ipv4,True,"['dst_ip', 'src_ip']","[419, 2540, 4882, 5418, 7430, 7474, 7476, 9430, 9568, 9570]","['192.168.137.233:34064>8.8.8.8:53/udp', '192.168.137.233:34992>8.8.8.8:53/udp', '192.168.137.233:39638>8.8.8.8:53/udp', '192.168.137.233:41078>8.8.8.8:53/udp', '192.168.137.233:42959>8.8.8.8:53/udp', '192.168.137.233:45561>8.8.8.8:53/udp', '192.168.137.233:50427>8.8.8.8:53/udp', '192.168.137.233:51386>8.8.8.8:53/udp', '192.168.137.233:55420>8.8.8.8:53/udp', '192.168.137.233:55769>8.8.8.8:53/udp', '192.168.137.233:57281>8.8.8.8:53/udp', '192.168.137.233:57400>8.8.8.8:53/udp', '192.168.137.233:58501>8.8.8.8:53/udp', '192.168.137.250:34167>8.8.8.8:53/udp', '192.168.137.250:35148>8.8.8.8:53/udp', '192.168.137.250:38086>8.8.8.8:53/udp', '192.168.137.250:38217>8.8.8.8:53/udp', '192.168.137.250:39475>8.8.8.8:53/udp', '192.168.137.250:47523>8.8.8.8:53/udp', '192.168.137.250:52599>8.8.8.8:53/udp', '192.168.137.250:56746>8.8.8.8:53/udp', '192.168.137.250:57460>8.8.8.8:53/udp', '192.168.137.250:58824>8.8.8.8:53/udp', '8.8.8.8:53>192.168.137.250:34167/udp', '8.8.8.8:53>192.168.137.250:35148/udp', '8.8.8.8:53>192.168.137.250:38086/udp', '8.8.8.8:53>192.168.137.250:38217/udp', '8.8.8.8:53>192.168.137.250:39475/udp', '8.8.8.8:53>192.168.137.250:47523/udp', '8.8.8.8:53>192.168.137.250:52599/udp', '8.8.8.8:53>192.168.137.250:56746/udp', '8.8.8.8:53>192.168.137.250:57460/udp', '8.8.8.8:53>192.168.137.250:58824/udp']"
